Del;Arbetsmoment;Grupp;Rad;Moment/Typ/Sort;Underlag/Variant;Enhet;0;-1;-2;-3;-4;-5;-6;-7;-8;-9
9;9578010;578;10;Hålat vinkel-/lådprofiljärn – inkl kapning/bockning m.m.;Oavsett underlag;profiljärn;0,23;;;;;;;;;
9;9578011;578;11;Dinskena inkl kapning t.o.m. 4 fästpunkter;Oavsett underlag;st;0,15;;;;;;;;;
9;9580010;580;10;Ankarskena t.o.m. 2 fästpunkter inkl borrning/kapning;Oavsett underlag;skena;0,3;;;;;;;;;
9;9580011;580;11;Ankarskena t.o.m. 4 fästpunkter;Oavsett underlag;skena;0,54;;;;;;;;;
9;9580012;580;12;Ankarskena t.o.m. 6 fästpunkter;Oavsett underlag;skena;0,77;;;;;;;;;
9;9591010;591;10;Uppsättning ej tidsatt – t.o.m. 1 kg;Utan fastsättning = -0 / Oavsett underlag = -1;enhet;0,05;0,1;;;;;;;;
9;9591011;591;11;Uppsättning ej tidsatt – >1–5 kg;Utan fastsättning = -0 / Oavsett underlag = -1;enhet;0,05;0,17;;;;;;;;
9;9591012;591;12;Uppsättning ej tidsatt – >5–25 kg;Utan fastsättning = -0 / Oavsett underlag = -1;enhet;0,1;0,34;;;;;;;;
9;9591013;591;13;Uppsättning ej tidsatt – >25–50 kg (≤4 skruv);Utan fastsättning = -0 / Oavsett underlag = -1;enhet;0,3;0,6;;;;;;;;
9;9591014;591;14;Tillkommande fästskruv utöver 4;Oavsett underlag;skruv;;0,12;;;;;;;;
9;9591015;591;15;Uppsättning ej tidsatt – >50–150 kg (≤6 skruv);Utan fastsättning = -0 / Oavsett underlag = -1;enhet;0,5;1,19;;;;;;;;
9;9591016;591;16;Tillkommande fästskruv utöver 6;Oavsett underlag;skruv;;0,16;;;;;;;;
9;9592010;592;10;Montera säkringssats/knivsäkring i befintlig/färdig central;Oavsett underlag;sats;0,02;;;;;;;;;
9;9595010;595;10;Märkskylt t.o.m. 7×3 cm (med skruv);Oavsett underlag;skylt;0,07;;;;;;;;;
9;9595011;595;11;Märkskylt eller ram t.o.m. 21×30 cm (med skruv);Oavsett underlag;skylt ram;0,1;;;;;;;;;
9;9595015;595;15;Märka och montera signeringsskylt;Oavsett underlag;skylt;0,04;;;;;;;;;
9;9595020;595;20;Tillverka märkskylt med märkapparat inkl montering/tejping;Oavsett underlag;skylt;0,05;;;;;;;;;
9;9595021;595;21;Tillkapa skyltlist med kap- och håltång;Oavsett underlag;skyltlist;0,02;;;;;;;;;
9;9600010;600;10;Utanpåliggande mätarskåp 3-pol t.o.m. 25 A;Oavsett underlag;skåp;1,19;;;;;;;;;
9;9600011;600;11;Utanpåliggande mätarskåp 3-pol t.o.m. 63 A;Oavsett underlag;skåp;1,5;;;;;;;;;
9;9601010;601;10;Infällt mätarskåp 3-pol 25 A;I regelverk (≤30 mm) = -0 / I färdig slits = -1;skåp;1,52;1,06;;;;;;;;
9;9601011;601;11;Infällt mätarskåp 3-pol 63 A;I regelverk (≤30 mm) = -0 / I färdig slits = -1;skåp;1,73;1,26;;;;;;;;
9;9602010;602;10;Tillkommande mätarplats;Oavsett underlag;plats;0,77;;;;;;;;;
9;9617010;617;10;Tillägg: ihopmontering av 2 separata lådor;—;ihopmontering;0,15;;;;;;;;;
